file_name,class_model1,class_model2,class_model3,class_tuple,common_or_frequent,common
ucomfn,other,other,other,"('other', 'other', 'other')",other,other
gkhact,student,student,student,"('student', 'student', 'student')",student,student
aaclkul,student,student,other,"('student', 'student', 'other')",student,None
qgzfwk,other,other,other,"('other', 'other', 'other')",other,other
gbzlhhl,course,course,course,"('course', 'course', 'course')",course,course
jdjamsls,student,student,student,"('student', 'student', 'student')",student,student
ysfrk,student,student,student,"('student', 'student', 'student')",student,student
rfiabezw,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
livhw,course,course,course,"('course', 'course', 'course')",course,course
xmmhnp,student,student,student,"('student', 'student', 'student')",student,student
jtahlq,other,other,other,"('other', 'other', 'other')",other,other
jymnj,course,course,course,"('course', 'course', 'course')",course,course
axgkxmj,other,other,other,"('other', 'other', 'other')",other,other
xicjxs,course,course,course,"('course', 'course', 'course')",course,course
bxxlthi,student,faculty,student,"('student', 'faculty', 'student')",student,None
wkqvj,course,course,course,"('course', 'course', 'course')",course,course
mrqhsday,other,other,other,"('other', 'other', 'other')",other,other
vszfsxc,other,other,other,"('other', 'other', 'other')",other,other
meqmm,other,other,other,"('other', 'other', 'other')",other,other
rntfgee,other,other,other,"('other', 'other', 'other')",other,other
epuimb,student,student,student,"('student', 'student', 'student')",student,student
otbmgnv,other,other,other,"('other', 'other', 'other')",other,other
nnccrkk,student,student,other,"('student', 'student', 'other')",student,None
bgxblaq,student,student,student,"('student', 'student', 'student')",student,student
tbztbzu,student,student,student,"('student', 'student', 'student')",student,student
wcjpbf,project,project,project,"('project', 'project', 'project')",project,project
doihof,other,other,other,"('other', 'other', 'other')",other,other
qxxqr,other,project,project,"('other', 'project', 'project')",project,None
ncnaj,student,student,student,"('student', 'student', 'student')",student,student
vrnec,student,student,student,"('student', 'student', 'student')",student,student
tjvzkyq,staff,staff,staff,"('staff', 'staff', 'staff')",staff,staff
lfuutmdo,student,student,student,"('student', 'student', 'student')",student,student
altuxox,student,staff,student,"('student', 'staff', 'student')",student,None
plbcxaf,other,course,other,"('other', 'course', 'other')",other,None
apakwv,other,department,other,"('other', 'department', 'other')",other,None
qcaet,other,other,other,"('other', 'other', 'other')",other,other
sxdmgx,student,student,student,"('student', 'student', 'student')",student,student
quatg,course,course,course,"('course', 'course', 'course')",course,course
ddurpci,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
yloilxu,student,student,student,"('student', 'student', 'student')",student,student
fmahjld,other,other,other,"('other', 'other', 'other')",other,other
iqbqv,other,other,other,"('other', 'other', 'other')",other,other
lfukf,other,other,other,"('other', 'other', 'other')",other,other
rjkqlkz,course,course,course,"('course', 'course', 'course')",course,course
hchoacu,faculty,faculty,student,"('faculty', 'faculty', 'student')",faculty,None
ikgbbfg,other,other,other,"('other', 'other', 'other')",other,other
ubpfdjg,other,other,other,"('other', 'other', 'other')",other,other
eyjdhqq,other,other,other,"('other', 'other', 'other')",other,other
jnvplm,student,student,student,"('student', 'student', 'student')",student,student
kydoocvs,course,course,course,"('course', 'course', 'course')",course,course
odgedcwl,department,department,department,"('department', 'department', 'department')",department,department
zgrzpiay,other,other,other,"('other', 'other', 'other')",other,other
scfijbu,other,other,other,"('other', 'other', 'other')",other,other
cfwzqt,other,other,other,"('other', 'other', 'other')",other,other
bwvavr,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
ibxwya,student,student,student,"('student', 'student', 'student')",student,student
jwkygjy,student,faculty,student,"('student', 'faculty', 'student')",student,None
fqkyhcel,other,other,other,"('other', 'other', 'other')",other,other
wiozj,course,course,course,"('course', 'course', 'course')",course,course
etibjjjs,student,student,student,"('student', 'student', 'student')",student,student
alrywqkr,project,project,project,"('project', 'project', 'project')",project,project
rosxu,student,student,student,"('student', 'student', 'student')",student,student
bovyrx,student,student,student,"('student', 'student', 'student')",student,student
eshbrq,other,other,other,"('other', 'other', 'other')",other,other
isxcfiva,student,student,student,"('student', 'student', 'student')",student,student
suqfqzt,project,project,project,"('project', 'project', 'project')",project,project
zgrtpsri,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
cjnxondy,other,other,other,"('other', 'other', 'other')",other,other
feeuawp,course,course,course,"('course', 'course', 'course')",course,course
bmmzflr,other,other,other,"('other', 'other', 'other')",other,other
fxqhlu,course,course,course,"('course', 'course', 'course')",course,course
augeudkf,other,other,other,"('other', 'other', 'other')",other,other
lcuod,other,other,other,"('other', 'other', 'other')",other,other
xxnbrcs,student,student,student,"('student', 'student', 'student')",student,student
qtfpnpr,student,student,student,"('student', 'student', 'student')",student,student
smqsgj,other,other,other,"('other', 'other', 'other')",other,other
hurpsrje,student,faculty,student,"('student', 'faculty', 'student')",student,None
hmavwgj,student,student,student,"('student', 'student', 'student')",student,student
jdnph,staff,staff,student,"('staff', 'staff', 'student')",staff,None
saqelsg,other,other,other,"('other', 'other', 'other')",other,other
wozzc,other,other,other,"('other', 'other', 'other')",other,other
fkvuit,course,other,course,"('course', 'other', 'course')",course,None
wqrxuql,other,other,other,"('other', 'other', 'other')",other,other
caecfi,other,other,other,"('other', 'other', 'other')",other,other
kvtlipjh,course,course,course,"('course', 'course', 'course')",course,course
oehiy,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
gxabdahe,department,department,department,"('department', 'department', 'department')",department,department
qnsjufb,other,other,other,"('other', 'other', 'other')",other,other
sdyiaw,student,student,student,"('student', 'student', 'student')",student,student
kuecr,other,other,other,"('other', 'other', 'other')",other,other
mfdsqlg,other,student,student,"('other', 'student', 'student')",student,None
qjjlm,other,other,faculty,"('other', 'other', 'faculty')",other,None
rixsxfif,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
wrwst,other,other,other,"('other', 'other', 'other')",other,other
aqsrcsy,department,department,department,"('department', 'department', 'department')",department,department
cqyvoud,other,other,other,"('other', 'other', 'other')",other,other
eicifodp,course,course,course,"('course', 'course', 'course')",course,course
kzvrrq,other,other,other,"('other', 'other', 'other')",other,other
cifyk,student,student,student,"('student', 'student', 'student')",student,student
ybcvkiqf,other,other,other,"('other', 'other', 'other')",other,other
mlylezz,other,other,other,"('other', 'other', 'other')",other,other
bhuwf,other,other,other,"('other', 'other', 'other')",other,other
ewnonvxy,other,other,other,"('other', 'other', 'other')",other,other
udghn,other,other,other,"('other', 'other', 'other')",other,other
emtufqje,course,course,course,"('course', 'course', 'course')",course,course
oouybbn,other,student,student,"('other', 'student', 'student')",student,None
vpxuxe,student,student,student,"('student', 'student', 'student')",student,student
altxhm,other,other,other,"('other', 'other', 'other')",other,other
rayfcgh,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
lmobyly,department,department,department,"('department', 'department', 'department')",department,department
ktmvcnv,student,student,student,"('student', 'student', 'student')",student,student
uuouaarr,project,project,project,"('project', 'project', 'project')",project,project
jtcqmpo,project,project,project,"('project', 'project', 'project')",project,project
eporowdg,other,other,other,"('other', 'other', 'other')",other,other
snwpmu,other,other,other,"('other', 'other', 'other')",other,other
lalle,other,project,project,"('other', 'project', 'project')",project,None
apkhal,student,student,student,"('student', 'student', 'student')",student,student
lhecwea,other,other,other,"('other', 'other', 'other')",other,other
uohan,course,course,course,"('course', 'course', 'course')",course,course
cqqqjx,staff,staff,student,"('staff', 'staff', 'student')",staff,None
swyppqy,course,course,course,"('course', 'course', 'course')",course,course
unokivxy,other,student,student,"('other', 'student', 'student')",student,None
ltwcnxe,other,other,other,"('other', 'other', 'other')",other,other
bhzijblm,other,other,other,"('other', 'other', 'other')",other,other
pjxvuupt,course,course,course,"('course', 'course', 'course')",course,course
kfbgivtc,other,other,other,"('other', 'other', 'other')",other,other
jqeqv,other,other,other,"('other', 'other', 'other')",other,other
jqbbor,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
twqjlu,course,course,other,"('course', 'course', 'other')",course,None
fpwuad,other,other,other,"('other', 'other', 'other')",other,other
mvxmadyv,other,other,other,"('other', 'other', 'other')",other,other
pohzzvig,other,other,other,"('other', 'other', 'other')",other,other
jdwxv,other,other,other,"('other', 'other', 'other')",other,other
eysee,department,other,other,"('department', 'other', 'other')",other,None
hpzoxitc,project,project,project,"('project', 'project', 'project')",project,project
qruaqyip,faculty,other,faculty,"('faculty', 'other', 'faculty')",faculty,None
qhfvar,other,student,student,"('other', 'student', 'student')",student,None
excvdwzh,course,course,course,"('course', 'course', 'course')",course,course
xmvvel,other,other,other,"('other', 'other', 'other')",other,other
ukgoagzq,other,other,other,"('other', 'other', 'other')",other,other
whgcvmc,other,other,other,"('other', 'other', 'other')",other,other
eihif,other,other,other,"('other', 'other', 'other')",other,other
mcfjym,project,project,project,"('project', 'project', 'project')",project,project
kjjbbt,other,other,other,"('other', 'other', 'other')",other,other
eksgz,other,other,other,"('other', 'other', 'other')",other,other
urmpyj,course,course,course,"('course', 'course', 'course')",course,course
hhdrss,other,other,student,"('other', 'other', 'student')",other,None
cdruyo,student,student,student,"('student', 'student', 'student')",student,student
xelszv,other,other,other,"('other', 'other', 'other')",other,other
zlshvea,other,other,other,"('other', 'other', 'other')",other,other
vmaagp,course,course,course,"('course', 'course', 'course')",course,course
iwsxp,other,other,other,"('other', 'other', 'other')",other,other
xehokcn,course,course,course,"('course', 'course', 'course')",course,course
loflw,course,course,course,"('course', 'course', 'course')",course,course
qjimegkq,student,staff,staff,"('student', 'staff', 'staff')",staff,None
cwlxvwh,course,course,course,"('course', 'course', 'course')",course,course
eplubxxs,other,other,other,"('other', 'other', 'other')",other,other
faqoft,student,other,other,"('student', 'other', 'other')",other,None
gwtwpgzd,course,course,course,"('course', 'course', 'course')",course,course
yrjhu,faculty,student,faculty,"('faculty', 'student', 'faculty')",faculty,None
ycvkbx,department,department,department,"('department', 'department', 'department')",department,department
coomnevj,student,student,student,"('student', 'student', 'student')",student,student
hpsaouip,other,other,other,"('other', 'other', 'other')",other,other
uneyzw,course,course,course,"('course', 'course', 'course')",course,course
jlrqqriz,other,other,other,"('other', 'other', 'other')",other,other
qfxbal,student,staff,student,"('student', 'staff', 'student')",student,None
maktwrg,course,course,course,"('course', 'course', 'course')",course,course
aceolgzx,other,other,other,"('other', 'other', 'other')",other,other
flectkq,other,other,other,"('other', 'other', 'other')",other,other
czvftspe,other,other,other,"('other', 'other', 'other')",other,other
itlkmcny,other,other,other,"('other', 'other', 'other')",other,other
kesfngwd,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
nrkvfmyh,other,other,other,"('other', 'other', 'other')",other,other
ypmwe,other,other,other,"('other', 'other', 'other')",other,other
eisomf,other,other,other,"('other', 'other', 'other')",other,other
qobxesvq,other,other,other,"('other', 'other', 'other')",other,other
rtdgpvlc,faculty,faculty,student,"('faculty', 'faculty', 'student')",faculty,None
vvtckzz,student,student,student,"('student', 'student', 'student')",student,student
vkyun,student,student,faculty,"('student', 'student', 'faculty')",student,None
jmbmykpe,other,other,other,"('other', 'other', 'other')",other,other
iitwjneu,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
ttjwn,student,faculty,student,"('student', 'faculty', 'student')",student,None
audtaxh,other,other,other,"('other', 'other', 'other')",other,other
pcjsleru,project,project,project,"('project', 'project', 'project')",project,project
pinguqo,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
tqelvzrz,other,department,department,"('other', 'department', 'department')",department,None
zfmgxz,other,other,other,"('other', 'other', 'other')",other,other
htqac,student,student,student,"('student', 'student', 'student')",student,student
wbxnhayf,other,other,other,"('other', 'other', 'other')",other,other
gtdctoah,other,other,other,"('other', 'other', 'other')",other,other
yhcpzrfo,project,project,other,"('project', 'project', 'other')",project,None
fygug,other,project,other,"('other', 'project', 'other')",other,None
yimpq,other,other,other,"('other', 'other', 'other')",other,other
aiqltd,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
xbazlov,student,student,student,"('student', 'student', 'student')",student,student
silpo,other,course,other,"('other', 'course', 'other')",other,None
nbvsh,student,student,student,"('student', 'student', 'student')",student,student
zibqmi,other,other,other,"('other', 'other', 'other')",other,other
bvtwusw,other,project,project,"('other', 'project', 'project')",project,None
feavav,other,other,other,"('other', 'other', 'other')",other,other
mdfbugu,student,student,student,"('student', 'student', 'student')",student,student
pejbfu,other,other,other,"('other', 'other', 'other')",other,other
szeuxgw,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
usodu,other,other,course,"('other', 'other', 'course')",other,None
beoyl,project,other,project,"('project', 'other', 'project')",project,None
awioiejc,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
sffqp,other,other,other,"('other', 'other', 'other')",other,other
fdxcbwrj,student,student,student,"('student', 'student', 'student')",student,student
jjomjmu,other,other,other,"('other', 'other', 'other')",other,other
qexjy,project,project,project,"('project', 'project', 'project')",project,project
clpyjrid,other,other,other,"('other', 'other', 'other')",other,other
secpx,student,student,student,"('student', 'student', 'student')",student,student
aspksukx,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
bttjq,other,other,other,"('other', 'other', 'other')",other,other
utste,other,other,other,"('other', 'other', 'other')",other,other
fgnuh,department,department,department,"('department', 'department', 'department')",department,department
ogkbg,other,other,other,"('other', 'other', 'other')",other,other
ryqcne,other,other,other,"('other', 'other', 'other')",other,other
egjrrq,student,student,student,"('student', 'student', 'student')",student,student
kqqjul,other,other,other,"('other', 'other', 'other')",other,other
qjpdfr,other,other,other,"('other', 'other', 'other')",other,other
swgied,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
xvcldiw,other,other,other,"('other', 'other', 'other')",other,other
knvdg,other,project,other,"('other', 'project', 'other')",other,None
wisos,other,other,other,"('other', 'other', 'other')",other,other
kwmbjag,other,other,other,"('other', 'other', 'other')",other,other
alfaog,course,course,course,"('course', 'course', 'course')",course,course
bvvko,course,course,course,"('course', 'course', 'course')",course,course
uonjb,course,course,course,"('course', 'course', 'course')",course,course
ffczrnz,student,student,student,"('student', 'student', 'student')",student,student
fzgowhq,other,other,other,"('other', 'other', 'other')",other,other
xiwqo,student,student,student,"('student', 'student', 'student')",student,student
gtbdebp,course,course,course,"('course', 'course', 'course')",course,course
idjfvfvk,other,course,other,"('other', 'course', 'other')",other,None
jptfm,other,other,other,"('other', 'other', 'other')",other,other
cnhjk,project,project,project,"('project', 'project', 'project')",project,project
xisjhb,student,student,student,"('student', 'student', 'student')",student,student
wzime,other,other,other,"('other', 'other', 'other')",other,other
ttain,other,other,other,"('other', 'other', 'other')",other,other
macgmms,other,other,other,"('other', 'other', 'other')",other,other
nsigmjh,other,other,other,"('other', 'other', 'other')",other,other
wlujat,other,other,other,"('other', 'other', 'other')",other,other
yawspc,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
gbmsh,student,student,other,"('student', 'student', 'other')",student,None
bnbsv,student,student,student,"('student', 'student', 'student')",student,student
winew,other,other,other,"('other', 'other', 'other')",other,other
iirmwgfq,project,project,project,"('project', 'project', 'project')",project,project
mtzuqdqc,student,student,student,"('student', 'student', 'student')",student,student
hfdchvs,other,other,other,"('other', 'other', 'other')",other,other
ixfqx,project,project,project,"('project', 'project', 'project')",project,project
lyjtcwqm,other,other,other,"('other', 'other', 'other')",other,other
rlyhuzi,other,other,other,"('other', 'other', 'other')",other,other
otajs,project,other,other,"('project', 'other', 'other')",other,None
ticyp,student,student,student,"('student', 'student', 'student')",student,student
zobjoz,student,student,student,"('student', 'student', 'student')",student,student
ygjolah,course,course,course,"('course', 'course', 'course')",course,course
bgnisk,student,student,student,"('student', 'student', 'student')",student,student
rdovq,other,other,other,"('other', 'other', 'other')",other,other
kcjaz,other,other,course,"('other', 'other', 'course')",other,None
tmucvdi,student,student,student,"('student', 'student', 'student')",student,student
iloxxj,other,course,course,"('other', 'course', 'course')",course,None
nfixgpu,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
tooal,other,other,other,"('other', 'other', 'other')",other,other
qqvkpysh,other,other,other,"('other', 'other', 'other')",other,other
aishkqu,project,other,other,"('project', 'other', 'other')",other,None
eytliaib,student,student,course,"('student', 'student', 'course')",student,None
hkdkgy,course,course,course,"('course', 'course', 'course')",course,course
ziuzwl,project,project,project,"('project', 'project', 'project')",project,project
utcniycx,student,student,faculty,"('student', 'student', 'faculty')",student,None
opxnfsb,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
sluybuce,course,course,course,"('course', 'course', 'course')",course,course
nummeoic,student,student,student,"('student', 'student', 'student')",student,student
zybimtt,other,other,other,"('other', 'other', 'other')",other,other
jxqpwlw,student,staff,faculty,"('student', 'staff', 'faculty')",faculty,None
rdnmnzrc,other,other,other,"('other', 'other', 'other')",other,other
acbplmv,faculty,other,other,"('faculty', 'other', 'other')",other,None
nutlkn,student,student,student,"('student', 'student', 'student')",student,student
xmuzdze,student,other,other,"('student', 'other', 'other')",other,None
pmmpv,course,course,course,"('course', 'course', 'course')",course,course
wponbx,other,other,other,"('other', 'other', 'other')",other,other
wbiyyafc,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
pfwwd,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
gdxmso,student,student,student,"('student', 'student', 'student')",student,student
mdqybvdc,other,other,other,"('other', 'other', 'other')",other,other
uktep,course,course,course,"('course', 'course', 'course')",course,course
cbdxh,student,student,student,"('student', 'student', 'student')",student,student
rfnxfuk,project,project,other,"('project', 'project', 'other')",project,None
gciirlh,student,other,student,"('student', 'other', 'student')",student,None
pizzvke,other,other,other,"('other', 'other', 'other')",other,other
jubzucis,other,other,other,"('other', 'other', 'other')",other,other
pbawnp,other,project,other,"('other', 'project', 'other')",other,None
iztxnf,other,other,other,"('other', 'other', 'other')",other,other
eechlt,other,other,other,"('other', 'other', 'other')",other,other
vpzsxsde,other,course,other,"('other', 'course', 'other')",other,None
juwhwbv,project,project,project,"('project', 'project', 'project')",project,project
yiohudke,other,other,other,"('other', 'other', 'other')",other,other
sqhos,other,other,other,"('other', 'other', 'other')",other,other
ejygdjl,other,other,other,"('other', 'other', 'other')",other,other
vivfatjo,project,other,project,"('project', 'other', 'project')",project,None
evegw,student,faculty,student,"('student', 'faculty', 'student')",student,None
xlmkr,student,student,student,"('student', 'student', 'student')",student,student
fczhavit,course,course,course,"('course', 'course', 'course')",course,course
axphpch,other,other,other,"('other', 'other', 'other')",other,other
kgtrkmsz,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
lndjiibk,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
phidq,course,course,course,"('course', 'course', 'course')",course,course
erxspdd,other,other,other,"('other', 'other', 'other')",other,other
jieeefx,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
arzeerl,student,student,student,"('student', 'student', 'student')",student,student
zoukpqm,student,student,student,"('student', 'student', 'student')",student,student
rbsvykbl,other,other,other,"('other', 'other', 'other')",other,other
qrvoln,other,other,other,"('other', 'other', 'other')",other,other
msvrcfr,course,course,course,"('course', 'course', 'course')",course,course
vrpbzut,other,other,other,"('other', 'other', 'other')",other,other
ticjdcr,faculty,faculty,student,"('faculty', 'faculty', 'student')",faculty,None
uzmbjytx,student,student,student,"('student', 'student', 'student')",student,student
zfmpy,other,other,other,"('other', 'other', 'other')",other,other
zudeebif,other,other,other,"('other', 'other', 'other')",other,other
vnibwn,other,other,other,"('other', 'other', 'other')",other,other
vgkqf,student,student,student,"('student', 'student', 'student')",student,student
eygbw,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
yxmkc,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
tvcksd,other,other,other,"('other', 'other', 'other')",other,other
eyvafkd,student,student,student,"('student', 'student', 'student')",student,student
orjro,other,other,other,"('other', 'other', 'other')",other,other
aspnkeit,other,other,other,"('other', 'other', 'other')",other,other
myipwh,other,other,other,"('other', 'other', 'other')",other,other
jvhhaxpn,course,course,course,"('course', 'course', 'course')",course,course
mvzdvi,other,other,other,"('other', 'other', 'other')",other,other
oxaepx,other,other,other,"('other', 'other', 'other')",other,other
vvvty,other,other,other,"('other', 'other', 'other')",other,other
ynozhbm,course,course,course,"('course', 'course', 'course')",course,course
upzow,student,student,student,"('student', 'student', 'student')",student,student
sdwkztnc,project,project,project,"('project', 'project', 'project')",project,project
uapyjabq,student,student,student,"('student', 'student', 'student')",student,student
jfqpd,student,student,student,"('student', 'student', 'student')",student,student
urwojpfi,other,other,other,"('other', 'other', 'other')",other,other
cehogf,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
aktnyrw,student,student,student,"('student', 'student', 'student')",student,student
laazymrn,student,student,student,"('student', 'student', 'student')",student,student
rowjm,project,project,project,"('project', 'project', 'project')",project,project
arwvjftm,student,student,faculty,"('student', 'student', 'faculty')",student,None
gnothl,other,other,other,"('other', 'other', 'other')",other,other
qraso,student,student,student,"('student', 'student', 'student')",student,student
xiyialqk,other,other,other,"('other', 'other', 'other')",other,other
dbtooseb,other,other,other,"('other', 'other', 'other')",other,other
qhjnp,course,course,course,"('course', 'course', 'course')",course,course
mgaymm,other,other,other,"('other', 'other', 'other')",other,other
wkbpmmx,staff,staff,student,"('staff', 'staff', 'student')",staff,None
ajjwszik,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
sliutrq,other,other,other,"('other', 'other', 'other')",other,other
nkxxa,student,student,student,"('student', 'student', 'student')",student,student
kskwfq,course,course,course,"('course', 'course', 'course')",course,course
urgmrkp,other,other,other,"('other', 'other', 'other')",other,other
ksbke,course,course,course,"('course', 'course', 'course')",course,course
vceoh,other,other,other,"('other', 'other', 'other')",other,other
iqeigph,other,other,other,"('other', 'other', 'other')",other,other
tssjsw,student,student,student,"('student', 'student', 'student')",student,student
fsjvm,other,other,other,"('other', 'other', 'other')",other,other
qzajgt,other,other,other,"('other', 'other', 'other')",other,other
trwuo,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
ujnnvh,student,student,student,"('student', 'student', 'student')",student,student
ksuan,other,other,other,"('other', 'other', 'other')",other,other
wcgqxff,project,project,project,"('project', 'project', 'project')",project,project
kltqcs,course,course,course,"('course', 'course', 'course')",course,course
tspdree,project,project,other,"('project', 'project', 'other')",project,None
nksrwz,course,course,course,"('course', 'course', 'course')",course,course
ngiwn,course,course,course,"('course', 'course', 'course')",course,course
wfdvqju,project,other,project,"('project', 'other', 'project')",project,None
jfwjlbtk,other,other,other,"('other', 'other', 'other')",other,other
nlxxo,student,student,student,"('student', 'student', 'student')",student,student
xtnlnc,course,course,course,"('course', 'course', 'course')",course,course
njcit,student,student,faculty,"('student', 'student', 'faculty')",student,None
appjcc,other,other,other,"('other', 'other', 'other')",other,other
fhwlo,student,student,student,"('student', 'student', 'student')",student,student
zjggyij,other,other,student,"('other', 'other', 'student')",other,None
vteob,other,other,other,"('other', 'other', 'other')",other,other
yhwmjuo,other,other,other,"('other', 'other', 'other')",other,other
sttad,other,other,other,"('other', 'other', 'other')",other,other
xfaiss,course,course,course,"('course', 'course', 'course')",course,course
qfzzfcr,other,course,other,"('other', 'course', 'other')",other,None
qxdrhk,student,student,student,"('student', 'student', 'student')",student,student
niizdbw,student,student,other,"('student', 'student', 'other')",student,None
ldwvc,course,course,course,"('course', 'course', 'course')",course,course
imdrjq,course,course,course,"('course', 'course', 'course')",course,course
hoqua,other,other,student,"('other', 'other', 'student')",other,None
rymqfqdn,other,other,other,"('other', 'other', 'other')",other,other
nttawca,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
cqtek,course,course,course,"('course', 'course', 'course')",course,course
bpblgwar,course,course,course,"('course', 'course', 'course')",course,course
pbgmp,student,student,student,"('student', 'student', 'student')",student,student
tmvwxf,other,other,other,"('other', 'other', 'other')",other,other
gzzdke,other,other,other,"('other', 'other', 'other')",other,other
waktj,department,department,department,"('department', 'department', 'department')",department,department
rujnpfdv,student,student,student,"('student', 'student', 'student')",student,student
pkxxb,student,student,student,"('student', 'student', 'student')",student,student
wlgmcu,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
lquduym,other,other,other,"('other', 'other', 'other')",other,other
vpiwso,project,other,other,"('project', 'other', 'other')",other,None
oyvbwwkp,faculty,faculty,faculty,"('faculty', 'faculty', 'faculty')",faculty,faculty
yjmwkn,other,other,other,"('other', 'other', 'other')",other,other
rqocwhxu,other,other,other,"('other', 'other', 'other')",other,other
gieoqvia,course,course,course,"('course', 'course', 'course')",course,course
rlnxbkvn,other,other,other,"('other', 'other', 'other')",other,other
zypnixf,department,project,project,"('department', 'project', 'project')",project,None
bqfbagmb,other,other,other,"('other', 'other', 'other')",other,other
vwpazsc,other,other,other,"('other', 'other', 'other')",other,other
lawhfzt,student,student,student,"('student', 'student', 'student')",student,student
