title,body,links,label
Ellen L. Mitchell's Home Page,UNIXhelp for Users Some people to watch out for... they have to work with me.,"['http://www.cs.tamu.edu/', 'http://www.tamu.edu/', 'http://www.cis.ohio-state.edu/hypertext/faq/usenet/FAQ-List.html']",staff
Shaun Flisakowski,Miscellaneous Small Things callstk.tar.gz: A set of C++ classes that keep track of the call stack and program trace with minimum hassle.,"['http://www.cs.wisc.edu/coral/', 'http://www.cs.wisc.edu/~devise/', 'file://ftp.cs.wisc.edu/coral/tmp/spf/ctree-0.03.tar.gz']",staff
Richard Zippel,"The introduction of these new objects into a programming language provides a number of new challenges to the language's type system and provides new opportunities for deductive reasoning, which we are pursuing.","['http://www.cs.cornell.edu/Info/People/rz/zippel.gif', 'http://www.cs.cornell.edu/Info/Department/Annual94/Beginning/researchers-list.html', 'http://www.cs.cornell.edu/Info/Department/Annual94/Beginning/annual-rpt94-home.html']",staff
Francesmary Modugno's Home Page,"Formal models of real-time, concurrent and distributed systems Parallel Algorthims Professional Activities: CHI 96 Basic Research Symposium Co-chair UIST 96 Demonstrations Co-Chair Education: Ph.D., Computer Science.","['http://www.cs.washington.edu/', 'http://www.washington.edu', 'http://www.seanet.com/Seattle/SeattleHome.html']",staff
Kurt Windisch,"Date: Tue, 26 Nov 1996 21:03:32 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 4711 Last-modified: Tue, 05 Nov 1996 16:13:09 GMT Home Page | Research | Surfing/Skiing Info | WWW Hotlist | Personal Kurt Windisch Kurt Windisch - University of Oregon I am a Research Assistant in the Dept.","['http://www.cs.uoregon.edu/~kurtw/', 'http://www.cs.uoregon.edu/~kurtw/research/', 'http://www.cs.uoregon.edu/~kurtw/surf.html']",staff
Key Ho Kwon,"Date: Mon, 25 Nov 1996 22:45:03 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 452 Last-modified: Sat, 10 Aug 1996 00:21:00 GMT Key Ho Kwon Key Ho Kwon Researcher Department of Computer Science Texas A&M University College Station, TX 77843-3112 Office: 410D H. R. Bright Building Phone: (409)845-4460 Fax: (409) 847-8578 Email: kwon@cs.tamu.edu",[],staff
Bülent's Home Page,"Date: Tue, 26 Nov 1996 20:18:06 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 936 Last-modified: Fri, 03 Nov 1995 18:47:00 GMT Bülent's Home Page Bülent Yener, PhD'94 I am a visitor and a recent graduate of the Computer Science Department at Columbia University in New York City .","['http://www.cs.columbia.edu/~yener/yener.gif', 'http://www.cs.columbia.edu/', 'http://www.cc.columbia.edu/']",staff
Mark Tinguely NDSU Staff,Media Vision ProMovieStudio Video Capture Driver for FreeBSD (ISA card) .,"['http://www.cs.ndsu.NoDak.edu/~tinguely/hookie.html', 'http://www.freebsd.org', 'http://www.cs.ndsu.NoDak.edu/~tinguely/casselton_nd/index.html']",staff
 Welcome to Jeff's Home ,"Date: Tue, 26 Nov 1996 20:25:45 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 1003 Last-modified: Fri, 20 Sep 1996 16:17:08 GMT Welcome to Jeff's Home Welcome to Jeff's Home This is very simple attempt to just put up a barely functional homepage containing important contact information: Office: Watson Hall, 612 West 115th Street, room 716, NY,NY 10025 Phone: (212) 854-1344 e-mail: jaltman@columbia.edu Kermit Software CS 6998-41: Adv.","['http://www.columbia.edu/kermit/', 'http://www.columbia.edu/~jaltman/cs6998.html', 'http://www.columbia.edu/~jaltman/oogui.html']",staff
Ron Theriault,"Date: Tue, 26 Nov 1996 20:58:41 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 3016 Last-modified: Tue, 19 Nov 1996 22:50:59 GMT Ron Theriault Ron Theriault Java the Hut Research Specialist / Systems Research Programmer Department of Computer Science, Texas A&M University, College Station, TX 77843-3112 Office: 221A H. R. Bright Building Phone: (409) 845-1865 Fax: (409) 847-8578 Email: ron@cs.tamu.edu Click Here for my nifty WorldClock Java applet.","['http://www.cs.tamu.edu/staff/ron/worldclock', 'http://java.cs.tamu.edu/docs/api/packages.html', 'http://java.sun.com/applets/']",staff
"
	Curt Ellmann 
","Date: Fri, 15 Nov 1996 00:17:56 GMT Server: NCSA/1.5 Content-type: text/html Last-modified: Fri, 01 Nov 1996 15:25:21 GMT Content-length: 4732 Curt Ellmann Curt Ellmann Paradise Database Project Department of Computer Sciences University of Wisconsin - Madison curt@cs.wisc.edu 608-263-7132 Items of Focus Java Related Items Paradise Home Page Paradise Developers Page WebGnats Defect Tracking for Paradise Prototype index of SHORE man pages My previous life in DoIT GIS & EOSDIS Related The OpenGIS Consortium The Global Positioning System (GPS) CALMIT, University of Nebraska-Lincoln Federated Approach to EOSDIS Database Related Object Database Management Group Home Page Free Database List SQL Standards Home Page Transaction Processing Performance Council Illustra White Papers Miscellaneous Sites Campus Sites Bob's WYRM Hoard Computer Sciences WiscInfo WiscINFO gopher WiscINFO Web Site UW Madison Library nic.wiscnet.net Corporate Web Apple IBM Microsoft AT&T Research Lands' End PAWWS Commerce Net Metrowerks Taligent Searching the Web Savvy Search WebCrawler Open Text The WWW Worm Network Information (MIT) Other Sites Internic International Organization for Standardization Internet Drafts FTP Site Dilbert Sun World Online C++FAQ Winsock Applications FAQ Current Weather Maps Dienst Dienst Implementation US Geologic Survey Government Information Locator (GILS) Oakridge National Lab Center for Computing Sciences Stock Market Data Curt Ellmann curt@cs.wisc.edu Paradise Database Project Department of Computer Sciences University of Wisconsin, Madison","['http://www.cs.wisc.edu/paradise/', 'http://www.cs.wisc.edu', 'http://www.wisc.edu']",staff
About Jim Davis at the Design Research Institute,"I am interested in Corporate (or Group) Memory, meaning electronic systems for capturing and accessing the knowledge used and produced by (the workers of) an institution, in order to increase the quality of or reduce the time required to do future work.","['http://cs-tr.cs.cornell.edu/Dienst/htdocs/Info/cstr.html', 'http://cs-tr.cs.cornell.edu', 'http://dri.cornell.edu/pub/davis/annotation.html']",staff
Document moved,"WWW Alert:  Redirection response from server is not handled by this client Date: Wed, 19 Feb 1997 16:49:16 GMT Server: NCSA/1.5 Location: http://www.tc.cornell.edu/~anne/ Content-type: text/html Document moved Document moved This document has permanently moved here .",['http://www.tc.cornell.edu/~anne/'],staff
Alan Carle's Home Page,"Date: Tue, 26 Nov 1996 00:17:26 GMT Server: NCSA/1.4.2 Content-type: text/html Last-modified: Mon, 19 Aug 1996 18:35:10 GMT Content-length: 1605 Alan Carle's Home Page Alan Carle Alan Carle received his B.A., M.S., and Ph.D. all from Rice University's Department of Computer Science.","['http://www.cs.indiana.edu/finger/cs.rice.edu/carle', 'http://www.cs.rice.edu/~carle/vita/vita.html', 'http://www.cs.rice.edu/~adifor']",staff
Subhankar Banerjee's home page,"Date: Tuesday, 26-Nov-96 20:45:09 GMT Server: NCSA/1.1 MIME-version: 1.0 Content-type: text/html Last-modified: Friday, 22-Mar-96 19:36:38 GMT Subhankar Banerjee's home page Welcome to Subhankar Banerjee's home page Research Specialist Department of Computer Science New Mexico State University Las Cruces, NM 88003 Ph: (505) 646-6232 (Office) Ph: (505) 521-3022 (Home) Fax: (505) 646-1002 email: sbanerje@cs.nmsu.edu http://www.cs.nmsu.edu/~sbanerje Interests Projects Grants Publications Hobbies","['http://www.cs.nmsu.edu/', 'http://www.nmsu.edu/', 'http://www.cs.nmsu.edu/~sbanerje/interestr.html']",staff
Terrance E. Boult,"To learn more about my research see TBoult's Research Page I am also an ex-Columbia-faculty (86-94), an ex-Columbia-graduate student (MS in CS 83-84, Ph.D. in CS 84-86) and an ex-Columbia-undergraduate (B.S.","['http://www.cs.columbia.edu/~tboult/tboult-color.gif', 'http://www.cs.columbia.edu/', 'http://www.cc.columbia.edu']",staff
M. Srikant,"Date: Tuesday, 26-Nov-96 20:43:21 GMT Server: NCSA/1.1 MIME-version: 1.0 Content-type: text/html Last-modified: Thursday, 21-Nov-96 23:30:35 GMT M. Srikant M. Srikant Researcher Office : (505) 646-6232 Home   : (505) 521-7025 NMSU : srikant@cs.nmsu.edu LANL : srikant@acl.lanl.gov `Zen' Programmer and `Tao' Mathematician.",['http://www.cs.nmsu.edu/~srikant/projects.html'],staff
John C. Mallery,"Selected Writings `` The Open Meeting: A Web-Based System for Conferencing and Collaboration ,'' with R. Hurwitz, Proceedings of The Fourth International Conference on The World-Wide Web , Boston: MIT, December 12, 1995.","['http://www.ai.mit.edu/people/jcma/Yosemite_Valley_L.gif', 'http://www.ai.mit.edu/people/jcma/el-capitan-the-nose-topo.gif', 'http://www.primenet.com/~midds/Nose.html']",staff
Jason Collins,"Date: Mon, 25 Nov 1996 23:24:12 GMT Server: NCSA/1.5.1 Last-modified: Wed, 30 Oct 1996 17:45:00 GMT Content-type: text/html Content-length: 2607 Jason Collins La Page de Jason Collins I'm currently working as a Research Associate at the University of Saskatchewan Department of Computer Science .","['http://www.usask.ca', 'http://www.cs.usask.ca', 'http://www.cs.usask.ca/projects/aries/']",staff
Howdy ! This is Angelica M Ramos,"Date: Tue, 26 Nov 1996 20:58:58 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 1472 Last-modified: Wed, 30 Aug 1995 18:46:28 GMT Howdy !","['http://www.cs.tamu.edu/', 'http://www.tamu.edu/', 'http://WWW.IPT.COM:80/index.htm> College Station</a>, \n<a href=']",staff
Sandhya Dwarkadas,"She used this tool to design and evaluate synchronization support, adaptive caching techniques, and the use of relaxed consistency models for a hierarchical bus-based shared-memory architecture.","['http://www.cs.rice.edu/', 'http://www.rice.edu/', 'http://www.cs.rice.edu/CS/Systems/software/treadmarks.html']",staff
Pete DeVries's Home Page,I also developed the Molecular Biology Web site.,"['mailto://pdevries@cs.wisc.edu', 'http://www.cs.wisc.edu/~ejhazen/ejhazen.html', 'http://www.cs.wisc.edu/csl/']",staff
Yuying Li,"Proceedings of 1993 Conference on Scientific and Engineering Computing for Chinese Young Scientists (1993), 241-246.","['http://www.cs.cornell.edu/Info/People/yuying/yuying.gif', 'http://www.cs.cornell.edu/Info/Department/Annual94/Beginning/researchers-list.html', 'http://www.cs.cornell.edu/Info/Department/Annual94/Beginning/annual-rpt94-home.html']",staff
Elizabeth Thomas's Home Page,"Date: Tue, 26 Nov 1996 00:16:45 GMT Server: NCSA/1.4.2 Content-type: text/html Last-modified: Wed, 20 Dec 1995 22:57:19 GMT Content-length: 1143 Elizabeth Thomas's Home Page Elizabeth Thomas Research Programmer II, D Group Rice university Office CRPC 195 Phone: On campus : x6002    Off Campus : 527 - 6002 Postal Rice University P.O.","['http://www.rice.edu/', 'http://www.cs.indiana.edu/finger/cs.rice.edu/lisaj', 'http://www.cs.rice.edu/~lisaj/lisa.html']",staff
Bryce Cogswell's Home Page,Real-Time web pages.,"['http://www.cs.uoregon.edu/~cogswell/tibbit/index.html', 'http://www.cs.uoregon.edu/~cogswell/tibbit/index.html', 'http://www.cs.uoregon.edu/~cogswell/repeatable.html']",staff
Adrian Rodriguez's Home Page,"Date: Tue, 26 Nov 1996 04:00:03 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 905 Last-modified: Sun, 11 Aug 1996 05:38:05 GMT Adrian Rodriguez's Home Page Adrian Rodriguez's Home Page I am a Systems Programmer for the LCSR Computing Facility at Rutgers University .","['http://www.cs.rutgers.edu/LCSR-Computing/', 'http://www.rutgers.edu', 'http://paul.rutgers.edu/~adrian/pgp.html']",staff
Chunguang Sun,"Parallel orthogonal factorizations of large sparse matrices on distributed-memory multiprocessors (with T. F. Coleman), Proceedings of the Sixth SIAM Conference on Parallel Processing for Scientific Computing, R. F. Sinovec, D. E. Keyes, M. R. Leuze, L. R. Petzold, and D. A. Reed, eds., SIAM, Philadelphia, 1993, pp.457-461.","['http://www.tc.cornell.edu/Research/ACRI', 'http://www.tc.cornell.edu', 'http://simon.cs.cornell.edu/Info/Projects/ccop/']",staff
John N. Schmidt of the MTSU Computer Science Dept.,"System Administrator, Lab Director for the Computer Science Dept.",['http://www.mtsu.edu/~ggjns'],staff
Brent Marykuca,"I am the best computer programmer that I know, but I don't know a lot of people.","['mailto:bmarykuc@csc.uvic.ca', 'http://gulf.uvic.ca/~bmarykuc/cgi/comments.cgi', 'http://gulf.uvic.ca/~csc586']",staff
"Charlie Richardson
","Date: Tue, 26 Nov 1996 20:58:55 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 480 Last-modified: Wed, 27 Sep 1995 20:41:20 GMT Charlie Richardson Charlie Richardson Systems Analyst Department of Computer Science Texas A&M University College Station, TX 77843-3112 Office: 221D  H. R. Bright Building Phone: (409)845-9470 Fax: (409) 847-8578 Email: charlier@cs.tamu.edu",[],staff
"Kurt A. Freiberger
","They always have to at least smell what I'm eating, and will fight the most vicious beasts of the Universe for Fig Newtons.","['mailto:kurt@cs.tamu.edu', 'http://www.cs.tamu.edu/staff/kurt/cambot.html', 'http://www.unitedmedia.com/comics/dilbert']",staff
 alvin.html ,"Date: Mon, 25 Nov 1996 23:24:21 GMT Server: NCSA/1.5.1 Last-modified: Tue, 15 Oct 1996 17:49:01 GMT Content-type: text/html Content-length: 1811 alvin.html Alvin Austin Systems Programmer Department of Computer Science University of Saskatchewan Saskatoon , SK CANADA Current Weather Conditions This page is a little bleak at the moment...","['http://www.usask.ca', 'http://www.cs.usask.ca', 'http://www.usask.ca']",staff
Home page of Christoph Kreitz,"MIME-Version: 1.0 Server: CERN/3.0 Date: Wednesday, 20-Nov-96 19:31:23 GMT Content-Type: text/html Content-Length: 4566 Last-Modified: Wednesday, 20-Nov-96 16:45:13 GMT Home page of Christoph Kreitz My own picture soon Christoph Kreitz Research Associate Department of Computer Science Cornell University Ithaca , NY 14853 USA Office: Phone: Fax: Email: 4159 Upson Hall ++ 1 (607) 255 1068 ++ 1 (607) 255 4428 kreitz@cs.cornell.edu Research Topics: Program Synthesis Automated Deduction and Type Theory Theory of Computation Teaching and Learning (German): Lehre und Lernen Vorlesungsskripte Medienunterstü tztes Lehren This is my personal home page.","['http://www.cs.cornell.edu/', 'http://www.info.cornell.edu/CUHomePage.html', 'http://www.cornell.edu/Ithaca.html']",staff
Bob Christofferson,"Date: Mon, 25 Nov 1996 23:06:06 GMT Server: NCSA/1.4.1 Content-type: text/html Last-modified: Mon, 15 Apr 1996 21:06:29 GMT Content-length: 1250 Bob Christofferson Robert Christofferson University of Idaho, Computer Science Department Bob Christofferson is the computer system manager for the department of computer science and has been working in that capacity since Aug 1993.","['http://www.cs.uidaho.edu/~johnd/policy.plan.html', 'http://www.cs.uidaho.edu/system.html', 'mailto:bobc@cs.uidaho.edu']",staff
 Richard S. Palmer,"MIME-Version: 1.0 Server: CERN/3.0 Date: Sunday, 24-Nov-96 23:08:05 GMT Content-Type: text/html Content-Length: 1307 Last-Modified: Tuesday, 24-Oct-95 14:08:55 GMT Richard S. Palmer Rick Palmer Senior Scientist / BEAM Technologies, Inc. / Ithaca, NY 14850 Visiting Scientist / Computer Science Dept.","['http://www.cs.cornell.edu/Info/Projects/SimLab/slides/chains/slide1.html', 'http://www.cs.cornell.edu/Info/People/rick/Info/Projects/SimLab/slides/made-11-94/node1.html', 'http://www.cs.cornell.edu/Info/People/rick/chains/chains.html']",staff
Home Page for Thomas Wallis,"Date: Mon, 25 Nov 1996 23:29:38 GMT Server: Apache/1.0.3 Content-type: text/html Content-length: 1703 Last-modified: Tue, 12 Nov 1996 16:44:59 GMT Home Page for Thomas Wallis Home Page for Thomas Wallis Thomas Wallis System Manager Computer Science Department Wichita State University Wichita , Kansas 67260-0083 Schedule Office Hours: M-F 8-5 Office: 213 SB E-Mail Address: wallis@cs.twsu.edu Phone: 316-978-3921 CS Department UNIX System Rules Handin Program Description for Graders and Students (BETA) *UPDATED* New Feature: Ask the System Manager Back Email Tom Wallis Here The information accessible from this server is provided in good faith, but neither the Wichita State University, nor the Computer Science Department takes any lega l responsiblity whatsoever for the accuracy or content of data displayed on this server.","['http://www.cs.twsu.edu', 'http://www.uc.twsu.edu/', 'http://www.southwind.net/ict/index.html']",staff
Susan Calcari's Home Page,"At that time I elected to relocate to Wisconsin and requested that NSF approve the relocation of the Scout project to the Computer Sciences department at UW - Madison, to which they heartily agreed.","['mailto: scal@cs.wisc.edu', 'http://www.cs.wisc.edu/scout/', 'http://www.cs.wisc.edu/']",staff
Stephen McClaren,"Date: Tue, 26 Nov 1996 20:59:12 GMT Server: Apache/1.1.1 Content-type: text/html Content-length: 450 Last-modified: Mon, 18 Sep 1995 20:00:11 GMT Stephen McClaren Stephen McClaren Researcher Department of Computer Science Texas A&M University College Station, TX 77843-3112 Office: 315D Wisenbaker Phone: (409) 845-9266 Fax: (409) 847-8578 Email: stephenm@cs.tamu.edu",[],staff
Ivan Matousek (Computer Consultant; CSIL systems),Group:     SFU School of Computing Science Technical Support Staff Title:     Computer Consultant Office:    ASB 10864 Email:     matousek@cs.sfu.ca Phone:     (604) 291-4422 Fax:       (604) 291-3045 Duties and Responsibilities: CSIL systems (Computing Science Instructional Lab) Software Installation and Maintenance Systems Administration SYBASE Administration CSIL access and security Planning User Support Backups RSCN Printer charging (CRC database) Faculty and staff SYBASE Administration (accounts & databases) References page maintained by: Ivan Matousek,"['http://fas.sfu.ca/cs', 'http://www.sfu.ca', 'http://fas.sfu.ca/cs/people/SupportStaff/matousek/personal/matousek.html']",staff
John B. Chambers' Home Page,"MIME-Version: 1.0 Server: CERN/3.0 Date: Monday, 06-Jan-97 19:26:04 GMT Content-Type: text/html Content-Length: 1509 Last-Modified: Monday, 06-Jan-97 16:37:02 GMT John B.","['http://www.cs.utexas.edu/users/jbc/home/research.html', 'http://www.cs.utexas.edu/users/jbc/home/papers.html', 'http://www.cs.utexas.edu/users/jbc/home/vita.html']",staff
