docid,predicted_class
./data/splits/test_new\test\avemi.json,student
./data/splits/test_new\test\awioiejc.json,course
./data/splits/test_new\test\awlal.json,faculty
./data/splits/test_new\test\axgkxmj.json,other
./data/splits/test_new\test\axphpch.json,project
./data/splits/test_new\test\aykqf.json,course
./data/splits/test_new\test\ayteap.json,department
./data/splits/test_new\test\azndzp.json,course
./data/splits/test_new\test\bbgkx.json,course
./data/splits/test_new\test\bcsrsbug.json,course
./data/splits/test_new\test\bdcydd.json,project
./data/splits/test_new\test\bdptkaio.json,student
./data/splits/test_new\test\bdwiu.json,course
./data/splits/test_new\test\begqls.json,project
./data/splits/test_new\test\beoczxhp.json,other
./data/splits/test_new\test\beoyl.json,course
./data/splits/test_new\test\beveykcq.json,other
./data/splits/test_new\test\bfiznf.json,project
./data/splits/test_new\test\bghlh.json,course
./data/splits/test_new\test\bgnisk.json,course
./data/splits/test_new\test\bgudhc.json,course
./data/splits/test_new\test\bgxblaq.json,department
./data/splits/test_new\test\bhjnxfeq.json,course
./data/splits/test_new\test\bhkvqidu.json,course
./data/splits/test_new\test\bhlwohi.json,other
./data/splits/test_new\test\bhptsyjz.json,course
./data/splits/test_new\test\bhuwf.json,other
./data/splits/test_new\test\bhzijblm.json,other
./data/splits/test_new\test\biaio.json,other
./data/splits/test_new\test\bilwr.json,course
./data/splits/test_new\test\bjjitsgt.json,course
./data/splits/test_new\test\bjwiuevz.json,course
./data/splits/test_new\test\bjzfnftw.json,course
./data/splits/test_new\test\blobw.json,course
./data/splits/test_new\test\bmmzflr.json,student
./data/splits/test_new\test\bnbsv.json,student
./data/splits/test_new\test\boarhn.json,course
./data/splits/test_new\test\bodmvxdf.json,student
./data/splits/test_new\test\bofjb.json,course
./data/splits/test_new\test\bondtsrh.json,staff
./data/splits/test_new\test\bovyrx.json,student
./data/splits/test_new\test\bpblgwar.json,course
./data/splits/test_new\test\bphhvc.json,course
./data/splits/test_new\test\bpjzrlxy.json,staff
./data/splits/test_new\test\bpxla.json,course
./data/splits/test_new\test\bqbvlmis.json,project
./data/splits/test_new\test\bqcuk.json,department
./data/splits/test_new\test\bqfbagmb.json,course
./data/splits/test_new\test\brhotofi.json,faculty
./data/splits/test_new\test\brmtqcj.json,faculty
./data/splits/test_new\test\brorn.json,department
./data/splits/test_new\test\browzov.json,staff
./data/splits/test_new\test\brwup.json,project
./data/splits/test_new\test\brzpgboe.json,course
./data/splits/test_new\test\bsjgc.json,other
./data/splits/test_new\test\bsjsuzw.json,project
./data/splits/test_new\test\bslps.json,department
./data/splits/test_new\test\btpdso.json,faculty
./data/splits/test_new\test\btrlegkg.json,course
./data/splits/test_new\test\bttjq.json,project
./data/splits/test_new\test\bulvw.json,student
./data/splits/test_new\test\bumcmpt.json,course
./data/splits/test_new\test\bvabh.json,course
./data/splits/test_new\test\bvkkhgyo.json,course
./data/splits/test_new\test\bvnniatg.json,project
./data/splits/test_new\test\bvtwusw.json,course
./data/splits/test_new\test\bvvko.json,course
./data/splits/test_new\test\bwjjh.json,course
./data/splits/test_new\test\bwvavr.json,faculty
./data/splits/test_new\test\bxwnlyu.json,course
./data/splits/test_new\test\bxxlthi.json,course
./data/splits/test_new\test\bypmk.json,course
./data/splits/test_new\test\byyxifzz.json,department
./data/splits/test_new\test\bzavavce.json,course
./data/splits/test_new\test\bzbyv.json,department
./data/splits/test_new\test\bzthieu.json,course
./data/splits/test_new\test\caaelf.json,staff
./data/splits/test_new\test\caecfi.json,course
./data/splits/test_new\test\caeck.json,department
./data/splits/test_new\test\caogdi.json,course
./data/splits/test_new\test\cbdxh.json,student
./data/splits/test_new\test\cbuuznl.json,project
./data/splits/test_new\test\ccbje.json,other
./data/splits/test_new\test\cddmp.json,course
./data/splits/test_new\test\cdhwa.json,course
./data/splits/test_new\test\cdruyo.json,other
./data/splits/test_new\test\cehogf.json,faculty
./data/splits/test_new\test\cenlf.json,course
./data/splits/test_new\test\cfcynn.json,project
./data/splits/test_new\test\cfsvmoen.json,course
./data/splits/test_new\test\cftid.json,student
./data/splits/test_new\test\cfwzqt.json,other
./data/splits/test_new\test\cgjuowc.json,faculty
./data/splits/test_new\test\charmfhj.json,student
./data/splits/test_new\test\chwusgl.json,course
./data/splits/test_new\test\cifmtm.json,course
./data/splits/test_new\test\cifyk.json,course
./data/splits/test_new\test\cioumfyi.json,course
./data/splits/test_new\test\ciuipt.json,other
./data/splits/test_new\test\ciwmb.json,project
./data/splits/test_new\test\cjnrzzmk.json,course
./data/splits/test_new\test\cjnxondy.json,course
./data/splits/test_new\test\ckemt.json,course
./data/splits/test_new\test\cketrvj.json,other
./data/splits/test_new\test\ckhzgl.json,student
./data/splits/test_new\test\clcydbp.json,course
./data/splits/test_new\test\clkaoj.json,course
./data/splits/test_new\test\clpyjrid.json,project
./data/splits/test_new\test\clsxoodd.json,faculty
./data/splits/test_new\test\cnhjk.json,project
./data/splits/test_new\test\cnlce.json,project
./data/splits/test_new\test\coomnevj.json,student
./data/splits/test_new\test\cotsv.json,project
./data/splits/test_new\test\cqksepwt.json,course
./data/splits/test_new\test\cqqqjx.json,other
./data/splits/test_new\test\cqtek.json,course
./data/splits/test_new\test\cqyvoud.json,course
./data/splits/test_new\test\cqzxj.json,project
./data/splits/test_new\test\crbexe.json,course
./data/splits/test_new\test\crusceee.json,course
./data/splits/test_new\test\ctfljg.json,course
./data/splits/test_new\test\ctshqqfo.json,course
./data/splits/test_new\test\cvxtmt.json,project
./data/splits/test_new\test\cwlxvwh.json,course
./data/splits/test_new\test\cxdpjw.json,department
./data/splits/test_new\test\cxjmjdh.json,faculty
./data/splits/test_new\test\cxvkh.json,course
./data/splits/test_new\test\czkze.json,faculty
./data/splits/test_new\test\czvftspe.json,course
./data/splits/test_new\test\czwglks.json,department
./data/splits/test_new\test\dbtooseb.json,project
./data/splits/test_new\test\dcbnebw.json,department
./data/splits/test_new\test\dcidctu.json,course
./data/splits/test_new\test\dclyjjg.json,department
./data/splits/test_new\test\ddgreszb.json,course
./data/splits/test_new\test\ddlpfjed.json,course
./data/splits/test_new\test\ddsnlb.json,faculty
./data/splits/test_new\test\ddurpci.json,course
./data/splits/test_new\test\ddwoml.json,course
./data/splits/test_new\test\debuzvc.json,project
./data/splits/test_new\test\deopslyp.json,course
./data/splits/test_new\test\deqwxxpt.json,course
./data/splits/test_new\test\devpg.json,course
./data/splits/test_new\test\dfuhpn.json,project
./data/splits/test_new\test\dfvnobj.json,other
./data/splits/test_new\test\dfzdiiy.json,faculty
./data/splits/test_new\test\dgppgjr.json,project
./data/splits/test_new\test\dhrezf.json,project
./data/splits/test_new\test\dhtdvz.json,student
./data/splits/test_new\test\digdken.json,course
./data/splits/test_new\test\djqfg.json,course
./data/splits/test_new\test\djrcms.json,course
./data/splits/test_new\test\dkgpnac.json,project
./data/splits/test_new\test\dkzacj.json,other
./data/splits/test_new\test\dmdjwh.json,other
./data/splits/test_new\test\dmiti.json,other
./data/splits/test_new\test\dmxjlh.json,department
./data/splits/test_new\test\doihof.json,project
./data/splits/test_new\test\dqhfisnj.json,course
./data/splits/test_new\test\dqxgzzq.json,faculty
./data/splits/test_new\test\dsnfmpl.json,department
./data/splits/test_new\test\dsvfsknw.json,course
./data/splits/test_new\test\duevfegy.json,project
./data/splits/test_new\test\duewkd.json,course
./data/splits/test_new\test\duhyq.json,department
./data/splits/test_new\test\dupih.json,student
./data/splits/test_new\test\dupnrc.json,course
./data/splits/test_new\test\duztbzxs.json,course
./data/splits/test_new\test\dvtry.json,course
./data/splits/test_new\test\dwsrmkmd.json,course
./data/splits/test_new\test\dxratuv.json,department
./data/splits/test_new\test\dxwljzj.json,course
./data/splits/test_new\test\dykbpos.json,course
./data/splits/test_new\test\dyruktbc.json,course
./data/splits/test_new\test\dyzbzmd.json,other
./data/splits/test_new\test\eanugl.json,course
./data/splits/test_new\test\eapzf.json,other
./data/splits/test_new\test\ecpfwumt.json,course
./data/splits/test_new\test\eechlt.json,other
./data/splits/test_new\test\eenhsx.json,course
./data/splits/test_new\test\eeqnxdb.json,faculty
./data/splits/test_new\test\eezqfeb.json,department
./data/splits/test_new\test\efkum.json,other
./data/splits/test_new\test\egjrrq.json,student
./data/splits/test_new\test\egqhoaq.json,department
./data/splits/test_new\test\eicecdq.json,course
./data/splits/test_new\test\eicifodp.json,course
./data/splits/test_new\test\eihif.json,course
./data/splits/test_new\test\eisomf.json,course
./data/splits/test_new\test\ejdmt.json,course
./data/splits/test_new\test\ejygdjl.json,course
./data/splits/test_new\test\ekauzlfp.json,course
./data/splits/test_new\test\eksgz.json,student
./data/splits/test_new\test\ekwtr.json,course
./data/splits/test_new\test\elbnnrs.json,project
./data/splits/test_new\test\elgcpgx.json,department
./data/splits/test_new\test\elsgfepj.json,project
./data/splits/test_new\test\emjhblgl.json,course
./data/splits/test_new\test\empwxl.json,department
./data/splits/test_new\test\emtufqje.json,course
./data/splits/test_new\test\enikcsv.json,course
./data/splits/test_new\test\eoohbumy.json,course
./data/splits/test_new\test\epftt.json,project
./data/splits/test_new\test\eplubxxs.json,other
./data/splits/test_new\test\eporowdg.json,project
./data/splits/test_new\test\epuimb.json,student
./data/splits/test_new\test\epxzvm.json,faculty
./data/splits/test_new\test\erxspdd.json,project
./data/splits/test_new\test\eshbrq.json,other
./data/splits/test_new\test\esjxb.json,course
./data/splits/test_new\test\espxbh.json,other
./data/splits/test_new\test\estbkk.json,course
./data/splits/test_new\test\esxrrht.json,other
./data/splits/test_new\test\etibjjjs.json,course
./data/splits/test_new\test\eudatvy.json,other
./data/splits/test_new\test\evegw.json,staff
./data/splits/test_new\test\evwphope.json,project
./data/splits/test_new\test\ewlew.json,student
./data/splits/test_new\test\ewnonvxy.json,course
./data/splits/test_new\test\ewsktq.json,department
./data/splits/test_new\test\ewwcso.json,department
./data/splits/test_new\test\exatc.json,other
./data/splits/test_new\test\excvdwzh.json,course
./data/splits/test_new\test\exiitk.json,course
./data/splits/test_new\test\eyaswbjz.json,faculty
./data/splits/test_new\test\eygbw.json,course
./data/splits/test_new\test\eyjdhqq.json,course
./data/splits/test_new\test\eysee.json,other
./data/splits/test_new\test\eytliaib.json,course
./data/splits/test_new\test\eyvafkd.json,student
./data/splits/test_new\test\eyxtv.json,faculty
./data/splits/test_new\test\ezpaic.json,course
./data/splits/test_new\test\fajpkgj.json,staff
./data/splits/test_new\test\faprw.json,course
./data/splits/test_new\test\faqoft.json,other
./data/splits/test_new\test\fbcvban.json,course
./data/splits/test_new\test\fbzij.json,course
./data/splits/test_new\test\fcpcxixw.json,department
./data/splits/test_new\test\fcwjgf.json,department
./data/splits/test_new\test\fczhavit.json,department
./data/splits/test_new\test\fdxcbwrj.json,project
./data/splits/test_new\test\feavav.json,course
./data/splits/test_new\test\feeuawp.json,course
./data/splits/test_new\test\fekdcta.json,project
./data/splits/test_new\test\ffcrqo.json,course
./data/splits/test_new\test\ffczrnz.json,project
./data/splits/test_new\test\ffqtge.json,course
./data/splits/test_new\test\ffrkhfcp.json,other
./data/splits/test_new\test\fgnuh.json,department
./data/splits/test_new\test\fhalcyxq.json,course
./data/splits/test_new\test\fhayg.json,faculty
./data/splits/test_new\test\fhszf.json,course
./data/splits/test_new\test\fhwlo.json,student
./data/splits/test_new\test\fimnwyjw.json,course
./data/splits/test_new\test\fizgc.json,department
./data/splits/test_new\test\fjxpjfez.json,staff
./data/splits/test_new\test\fksba.json,staff
./data/splits/test_new\test\fkvuit.json,department
./data/splits/test_new\test\flectkq.json,department
./data/splits/test_new\test\flgtpxn.json,department
./data/splits/test_new\test\fmahjld.json,course
./data/splits/test_new\test\fmjcrj.json,course
./data/splits/test_new\test\fmmiki.json,project
./data/splits/test_new\test\fmqwylsg.json,course
./data/splits/test_new\test\fndgjmzm.json,other
./data/splits/test_new\test\fnqkojm.json,course
./data/splits/test_new\test\fnsurvey.json,course
./data/splits/test_new\test\fppga.json,other
./data/splits/test_new\test\fpwuad.json,course
./data/splits/test_new\test\fqealu.json,department
./data/splits/test_new\test\fqkyhcel.json,course
./data/splits/test_new\test\fqnaj.json,course
./data/splits/test_new\test\fromyknh.json,department
./data/splits/test_new\test\fsjvm.json,other
./data/splits/test_new\test\ftipfpcv.json,course
./data/splits/test_new\test\fudhjb.json,course
./data/splits/test_new\test\fugmzdml.json,course
./data/splits/test_new\test\fuvxncl.json,project
./data/splits/test_new\test\fuxozggi.json,department
./data/splits/test_new\test\fvcnksd.json,project
./data/splits/test_new\test\fvgngpl.json,course
./data/splits/test_new\test\fvuyfjv.json,course
./data/splits/test_new\test\fwzhcxrx.json,project
./data/splits/test_new\test\fxabo.json,project
./data/splits/test_new\test\fxqhlu.json,course
./data/splits/test_new\test\fygug.json,course
./data/splits/test_new\test\fzgowhq.json,student
./data/splits/test_new\test\fzuwzk.json,student
./data/splits/test_new\test\fzyjwl.json,course
./data/splits/test_new\test\gaqepyeo.json,student
./data/splits/test_new\test\gazyznk.json,faculty
./data/splits/test_new\test\gbmsh.json,course
./data/splits/test_new\test\gbumd.json,course
./data/splits/test_new\test\gbvqwbe.json,course
./data/splits/test_new\test\gbzlhhl.json,course
./data/splits/test_new\test\gciirlh.json,other
./data/splits/test_new\test\gdgvwifk.json,other
./data/splits/test_new\test\gdpex.json,faculty
./data/splits/test_new\test\gduwb.json,department
./data/splits/test_new\test\gdxmso.json,other
./data/splits/test_new\test\gedcirqa.json,project
./data/splits/test_new\test\geiruvj.json,other
./data/splits/test_new\test\gevdzsvt.json,project
./data/splits/test_new\test\gfpmjx.json,course
./data/splits/test_new\test\gfvefxbu.json,course
./data/splits/test_new\test\gfwdbf.json,staff
./data/splits/test_new\test\gfyrwma.json,course
./data/splits/test_new\test\ggozukjr.json,course
./data/splits/test_new\test\ghxnl.json,course
./data/splits/test_new\test\gieoqvia.json,course
./data/splits/test_new\test\gjhhavd.json,course
./data/splits/test_new\test\gjpcxt.json,course
./data/splits/test_new\test\gjtxqp.json,course
./data/splits/test_new\test\gjuhqzdv.json,course
./data/splits/test_new\test\gkdnf.json,course
./data/splits/test_new\test\gkhact.json,student
./data/splits/test_new\test\gkqtn.json,course
./data/splits/test_new\test\gkvqoukw.json,department
./data/splits/test_new\test\gnaju.json,course
./data/splits/test_new\test\gnothl.json,project
./data/splits/test_new\test\gnrotudd.json,project
./data/splits/test_new\test\gnzbtght.json,course
./data/splits/test_new\test\gotjzb.json,project
./data/splits/test_new\test\gowqht.json,course
./data/splits/test_new\test\goxgfr.json,project
./data/splits/test_new\test\gqgtsy.json,course
./data/splits/test_new\test\grddrzm.json,other
./data/splits/test_new\test\gtbdebp.json,course
./data/splits/test_new\test\gtchjnzw.json,course
./data/splits/test_new\test\gtdarzt.json,course
./data/splits/test_new\test\gtdctoah.json,course
./data/splits/test_new\test\gtgxgzcn.json,department
./data/splits/test_new\test\gtjdqq.json,department
./data/splits/test_new\test\gtwhcjns.json,student
./data/splits/test_new\test\gtxqws.json,course
./data/splits/test_new\test\gurvox.json,course
./data/splits/test_new\test\gwnono.json,other
./data/splits/test_new\test\gwojb.json,faculty
./data/splits/test_new\test\gwtwpgzd.json,course
./data/splits/test_new\test\gwytgt.json,department
./data/splits/test_new\test\gxabdahe.json,department
./data/splits/test_new\test\gxdcpwo.json,course
./data/splits/test_new\test\gxqadkgw.json,project
./data/splits/test_new\test\gyldrugw.json,course
./data/splits/test_new\test\gyutr.json,project
./data/splits/test_new\test\gzcicjd.json,staff
./data/splits/test_new\test\gzomtedw.json,project
./data/splits/test_new\test\gzzdke.json,other
./data/splits/test_new\test\hafjoyi.json,other
./data/splits/test_new\test\haifof.json,course
./data/splits/test_new\test\hbobpex.json,course
./data/splits/test_new\test\hbregcw.json,student
./data/splits/test_new\test\hchoacu.json,course
./data/splits/test_new\test\hcxyp.json,course
./data/splits/test_new\test\hczmwigz.json,course
./data/splits/test_new\test\heaeeg.json,faculty
./data/splits/test_new\test\heatdq.json,student
./data/splits/test_new\test\heiozqq.json,course
./data/splits/test_new\test\hezwgs.json,course
./data/splits/test_new\test\hfdchvs.json,course
./data/splits/test_new\test\hfpivpuu.json,department
./data/splits/test_new\test\hgjwxb.json,student
./data/splits/test_new\test\hgmehmo.json,project
./data/splits/test_new\test\hhabfel.json,department
./data/splits/test_new\test\hhdjgk.json,department
./data/splits/test_new\test\hhdrss.json,other
./data/splits/test_new\test\hhsnp.json,project
./data/splits/test_new\test\higwe.json,course
./data/splits/test_new\test\hkdkgy.json,faculty
./data/splits/test_new\test\hlsypm.json,project
./data/splits/test_new\test\hltxkki.json,other
./data/splits/test_new\test\hmavwgj.json,student
./data/splits/test_new\test\hmdjklt.json,course
./data/splits/test_new\test\hmidet.json,course
./data/splits/test_new\test\hmrwjp.json,project
./data/splits/test_new\test\hngmr.json,course
./data/splits/test_new\test\hnweal.json,student
./data/splits/test_new\test\hoqua.json,other
./data/splits/test_new\test\hovra.json,course
./data/splits/test_new\test\hpsaouip.json,course
./data/splits/test_new\test\hpweca.json,course
./data/splits/test_new\test\hpzoxitc.json,faculty
./data/splits/test_new\test\hqrwpbt.json,course
./data/splits/test_new\test\hquvdf.json,course
./data/splits/test_new\test\hrojordm.json,course
./data/splits/test_new\test\hrshysyc.json,faculty
./data/splits/test_new\test\hskgpx.json,department
./data/splits/test_new\test\hszvzt.json,other
./data/splits/test_new\test\htbdkait.json,course
./data/splits/test_new\test\htqac.json,other
./data/splits/test_new\test\huovxti.json,staff
./data/splits/test_new\test\hurpsrje.json,course
./data/splits/test_new\test\huumx.json,student
./data/splits/test_new\test\hvmsfmtn.json,department
./data/splits/test_new\test\hvstwh.json,department
./data/splits/test_new\test\hwxdzumg.json,course
./data/splits/test_new\test\hxkeks.json,other
./data/splits/test_new\test\hxncig.json,faculty
./data/splits/test_new\test\hyakvwkw.json,project
./data/splits/test_new\test\hyutx.json,staff
./data/splits/test_new\test\iasqknq.json,student
./data/splits/test_new\test\iavwjn.json,other
./data/splits/test_new\test\iawcg.json,department
./data/splits/test_new\test\ibnqs.json,course
./data/splits/test_new\test\ibxwya.json,other
./data/splits/test_new\test\icptqhh.json,student
./data/splits/test_new\test\iczwhz.json,course
./data/splits/test_new\test\idjfvfvk.json,course
./data/splits/test_new\test\ifclx.json,course
./data/splits/test_new\test\ifhyt.json,student
./data/splits/test_new\test\ifttvly.json,course
./data/splits/test_new\test\igamsti.json,course
./data/splits/test_new\test\igfttdjo.json,project
./data/splits/test_new\test\igswa.json,department
./data/splits/test_new\test\ihrpmc.json,course
./data/splits/test_new\test\ihsbfi.json,course
./data/splits/test_new\test\iirmwgfq.json,course
./data/splits/test_new\test\iitwjneu.json,course
./data/splits/test_new\test\iivlvl.json,other
./data/splits/test_new\test\ijkhegq.json,course
./data/splits/test_new\test\ijoyru.json,course
./data/splits/test_new\test\ijsqaud.json,project
./data/splits/test_new\test\ikgbbfg.json,project
./data/splits/test_new\test\iklphm.json,staff
./data/splits/test_new\test\ilktf.json,other
./data/splits/test_new\test\iloxxj.json,course
./data/splits/test_new\test\imdrjq.json,course
./data/splits/test_new\test\imltuesr.json,other
./data/splits/test_new\test\immpx.json,project
./data/splits/test_new\test\inlsldab.json,course
./data/splits/test_new\test\ioabqtxs.json,course
./data/splits/test_new\test\ioxoxekd.json,other
./data/splits/test_new\test\iplufn.json,course
./data/splits/test_new\test\iprfwqc.json,course
./data/splits/test_new\test\iqbqv.json,other
./data/splits/test_new\test\iqeigph.json,department
./data/splits/test_new\test\irhvgjs.json,course
./data/splits/test_new\test\irhvprt.json,faculty
./data/splits/test_new\test\irjhn.json,project
./data/splits/test_new\test\irrdkkbn.json,course
./data/splits/test_new\test\iryynwmk.json,other
./data/splits/test_new\test\isxcfiva.json,staff
./data/splits/test_new\test\iszou.json,other
./data/splits/test_new\test\itlkmcny.json,other
./data/splits/test_new\test\itmbdhy.json,department
./data/splits/test_new\test\itozobft.json,course
./data/splits/test_new\test\iuxnok.json,course
./data/splits/test_new\test\iuxtwgjz.json,other
./data/splits/test_new\test\iwron.json,faculty
./data/splits/test_new\test\iwsxp.json,faculty
./data/splits/test_new\test\iwwwqw.json,course
./data/splits/test_new\test\iwywhmi.json,project
./data/splits/test_new\test\ixfhz.json,course
./data/splits/test_new\test\ixfqx.json,project
./data/splits/test_new\test\ixoubp.json,other
./data/splits/test_new\test\ixslka.json,project
./data/splits/test_new\test\iyemmjpt.json,faculty
./data/splits/test_new\test\iyfsi.json,course
./data/splits/test_new\test\iypszquv.json,department
./data/splits/test_new\test\iyykc.json,course
./data/splits/test_new\test\izhzil.json,department
./data/splits/test_new\test\izktf.json,course
./data/splits/test_new\test\iztxnf.json,course
./data/splits/test_new\test\jbarxv.json,department
./data/splits/test_new\test\jcalgzyq.json,department
./data/splits/test_new\test\jcmkz.json,other
./data/splits/test_new\test\jctytnm.json,course
./data/splits/test_new\test\jdjamsls.json,staff
./data/splits/test_new\test\jdnph.json,student
./data/splits/test_new\test\jdnrfqx.json,staff
./data/splits/test_new\test\jdscdzrq.json,student
./data/splits/test_new\test\jdwxv.json,project
./data/splits/test_new\test\jewrlbk.json,course
./data/splits/test_new\test\jfdjl.json,course
./data/splits/test_new\test\jffly.json,course
./data/splits/test_new\test\jfiubhz.json,course
./data/splits/test_new\test\jfpfze.json,course
./data/splits/test_new\test\jfqpd.json,course
./data/splits/test_new\test\jfwjlbtk.json,course
./data/splits/test_new\test\jgzrtkhc.json,project
./data/splits/test_new\test\jhptp.json,course
./data/splits/test_new\test\jieeefx.json,department
./data/splits/test_new\test\jjdohqq.json,course
./data/splits/test_new\test\jjomjmu.json,course
./data/splits/test_new\test\jjtlz.json,course
./data/splits/test_new\test\jjvpn.json,faculty
./data/splits/test_new\test\jklzmg.json,project
./data/splits/test_new\test\jlecz.json,course
./data/splits/test_new\test\jlkbszx.json,course
./data/splits/test_new\test\jlrqqriz.json,faculty
./data/splits/test_new\test\jmbmykpe.json,course
./data/splits/test_new\test\jmcmoudq.json,department
./data/splits/test_new\test\jmiqllv.json,course
./data/splits/test_new\test\jnlam.json,student
./data/splits/test_new\test\jnvplm.json,course
./data/splits/test_new\test\jptfm.json,other
./data/splits/test_new\test\jpxvffy.json,course
./data/splits/test_new\test\jqbbor.json,course
./data/splits/test_new\test\jqbuixz.json,student
./data/splits/test_new\test\jqeqv.json,other
./data/splits/test_new\test\jqfuqu.json,staff
./data/splits/test_new\test\jrkacjdp.json,course
./data/splits/test_new\test\jrpbytj.json,other
./data/splits/test_new\test\jryqezxd.json,department
./data/splits/test_new\test\jspgm.json,course
./data/splits/test_new\test\jswcx.json,course
./data/splits/test_new\test\jsybmuwh.json,student
./data/splits/test_new\test\jsyjyssc.json,course
./data/splits/test_new\test\jtahlq.json,project
./data/splits/test_new\test\jtcqmpo.json,course
./data/splits/test_new\test\jubzucis.json,course
./data/splits/test_new\test\juealsvj.json,faculty
./data/splits/test_new\test\junlpo.json,course
./data/splits/test_new\test\juwhwbv.json,course
./data/splits/test_new\test\juwmtndc.json,course
./data/splits/test_new\test\jvhhaxpn.json,course
./data/splits/test_new\test\jvnyyk.json,other
./data/splits/test_new\test\jwawqn.json,student
./data/splits/test_new\test\jwfzxxg.json,course
./data/splits/test_new\test\jwkygjy.json,department
./data/splits/test_new\test\jxbmfg.json,course
./data/splits/test_new\test\jxiite.json,project
./data/splits/test_new\test\jxjpziw.json,staff
./data/splits/test_new\test\jxpqg.json,student
./data/splits/test_new\test\jxqpwlw.json,project
./data/splits/test_new\test\jyeyszb.json,course
./data/splits/test_new\test\jyffkgyk.json,course
./data/splits/test_new\test\jymnj.json,course
./data/splits/test_new\test\jzifdoy.json,faculty
./data/splits/test_new\test\jzjei.json,course
./data/splits/test_new\test\jzoegbn.json,course
./data/splits/test_new\test\jzoyf.json,department
./data/splits/test_new\test\kaqaica.json,project
./data/splits/test_new\test\karbsg.json,staff
./data/splits/test_new\test\kbjsadwd.json,other
./data/splits/test_new\test\kbsxru.json,student
./data/splits/test_new\test\kbwcx.json,course
./data/splits/test_new\test\kcjaz.json,course
./data/splits/test_new\test\kcldhpcj.json,course
./data/splits/test_new\test\kcogomz.json,other
./data/splits/test_new\test\kdscbeoa.json,department
./data/splits/test_new\test\kegru.json,department
./data/splits/test_new\test\kejiyfi.json,other
./data/splits/test_new\test\kesfngwd.json,department
./data/splits/test_new\test\kfbgivtc.json,other
./data/splits/test_new\test\kgaxenm.json,course
./data/splits/test_new\test\kgmxep.json,course
./data/splits/test_new\test\kgtrkmsz.json,faculty
./data/splits/test_new\test\khcaied.json,project
./data/splits/test_new\test\khtaydx.json,staff
./data/splits/test_new\test\kiqge.json,department
./data/splits/test_new\test\kjfoazza.json,other
./data/splits/test_new\test\kjjbbt.json,student
./data/splits/test_new\test\kjnmoil.json,project
./data/splits/test_new\test\kjsyzoav.json,faculty
./data/splits/test_new\test\klpyg.json,student
./data/splits/test_new\test\kltqcs.json,student
./data/splits/test_new\test\klysfu.json,course
./data/splits/test_new\test\klzplzo.json,course
./data/splits/test_new\test\kmrpuzwi.json,department
./data/splits/test_new\test\knvdg.json,faculty
./data/splits/test_new\test\kobkw.json,student
./data/splits/test_new\test\kofrfx.json,course
./data/splits/test_new\test\kqghrpia.json,other
./data/splits/test_new\test\kqohtbk.json,course
./data/splits/test_new\test\kqqjul.json,course
./data/splits/test_new\test\krdwlm.json,course
